Designator,Mid X,Mid Y,Rotation,Layer
C1,163.5575,-97.42,0.0,bottom
C10,155.99,-102.13,90.0,bottom
C11,151.94,-96.255,270.0,bottom
C12,148.74,-96.295,90.0,bottom
C13,145.19,-108.02,180.0,bottom
C14,148.58,-113.09,270.0,bottom
C15,146.96,-113.105,270.0,bottom
C16,143.55,-113.2075,270.0,bottom
C17,133.755,-91.38,0.0,bottom
C18,160.86,-87.115,90.0,bottom
C19,162.56,-87.135,90.0,bottom
C2,156.775,-98.31,0.0,bottom
C20,164.24,-87.115,90.0,bottom
C3,139.66,-91.79,180.0,bottom
C4,136.12,-104.315,270.0,bottom
C5,146.225,-95.29,0.0,bottom
C6,138.755,-106.68,180.0,bottom
C7,156.765,-96.76,0.0,bottom
C8,157.62,-95.19,0.0,bottom
C9,155.99,-105.155,270.0,bottom
CR1,146.05,-83.9597,90.0,bottom
D1,153.5425,-89.73,180.0,bottom
J1,154.05,-84.7,180.0,bottom
J3,132.68,-104.05425,90.0,bottom
J4,146.52,-132.06,180.0,bottom
J5,162.29,-120.665,180.0,bottom
J6,138.45,-80.07,0.0,bottom
L1,157.71,-103.04,270.0,bottom
L3,138.7,-105.05,180.0,bottom
Module1,163.0,-82.0,180.0,top
Q1,153.795,-92.8,180.0,bottom
R1,133.735,-93.12,180.0,bottom
R10,146.255,-97.07,180.0,bottom
R2,133.725,-94.76,0.0,bottom
R3,148.42,-124.435,270.0,bottom
R4,145.07,-124.905,270.0,bottom
R5,150.36,-96.315,270.0,bottom
R6,137.17,-87.295,90.0,bottom
R7,148.605,-108.03,0.0,bottom
R9,139.76,-87.285,90.0,bottom
U1,139.19,-99.03,180.0,bottom
U2,150.449999,-102.8,90.0,bottom
U3,146.65,-124.725,0.0,bottom
